te,en,hi,_te_TG
"ఇదిగో, యిది చూడండి.",See this.,यह देखिए।,"ఇదిగో, యిది చూడండి."
,,,
గిరిజ:,Girija:,गिरिजा:,గిరిజ:
ఇది బాగుంది.,This is good.,यह अच्छा है।,ఇది బాగుంది.
,,,
రామా:,Rama:,रामा:,రామా:
"సరే, యిది యివ్వండి.","Okay, give this.","ठीक है, यह दीजिए।","సరే, యిది యివ్వండి."
,,,
కొట్టతను:,Shopkeeper:,दुकानदार:,కొట్టతను:
అలాగే!,Okay!,ठीक है!,అలాగే!
,,,
సుబ్బరామయ్య:,Subbaramayya:,सुब्बरामय्या:,సుబ్బరామయ్య:
ఏమోయ్ రామారావు!,"Hey, Ramarao!",अरे रामराव!,ఏమోయ్ రామారావు!
రేడియో కొంటున్నావా?,Are you buying a radio?,रेडियो ख़रीद रहे हो क्या?,రేడియో కొంటున్నావా?
,,,
రామా:,Rama:,रामा:,రామా:
అవునండీ!,"Yes, sir.",हांजी!,అవునండీ!
మీరు?,You?,आप?,మీరు?
,,,
సుబ్బ:,Subba:,सुब्बा:,సుబ్బ:
నేను కూడా ఒక రేడియో కొనాలయ్యా!,I also have to buy a radio.,मुझे भी एक रेडियो खरीदना है!,నేను కూడా ఒక రేడియో కొనాలయ్యా!
నువ్విది తీసుకుంటున్నావా?,Are you taking this one?,तुम यह ले रहे हो क्या?,నువ్విది తీసుకుంటున్నావా?
,,,
రామా:,Rama:,रामा:,రామా:
అవునండీ.,"Yes, sir.",हांजी।,అవునండీ.
ఈ మోడలు బాగుంది.,This model is good.,यह मॉडल अच्छा है।,ఈ మోడలు బాగుంది.
మీరు కూడా ఇదే తీసుకోండి.,You also take the same one.,आप भी यही लीजिए।,మీరు కూడా ఇదే తీసుకోండి.
,,,
సుబ్బ:,Subba:,सुब्बा:,సుబ్బ:
సరే!,Okay!,ठीक है।,సరే!
నాకు కూడా ఈ మోడలే ఒకటి ఇవ్వండి.,Give me also one of the same model.,मुझे भी इस मॉडल का ही एक दीजिए।,నాకు కూడా ఈ మోడలే ఒకటి ఇవ్వండి.
,,,
రామా:,Rama:,रामा:,రామా:
సుబ్బరామయ్యగారూ!,Mr. Subbaramayya!,सुब्बरामय्या जी!,సుబ్బరామయ్యగారూ!
మా ఇంటికి రండి;,Come to our house;,हमारे घर आइए;,మా ఇంటికి రండి;
ఇక్కడికి దగ్గరే!,It's close to here.,यहाँ से पास ही है।,ఇక్కడికి దగ్గరే!
,,,
రామారావు:,Ramarao:,रामाराव:,రామారావు:
రండి సుబ్బరామయ్యగారూ!,Come Mr. Subbaramayya!,आइए सुब्बरामय्या जी!,రండి సుబ్బరామయ్యగారూ!
ఈ సోఫాలో కూర్చోండి.,Sit in this sofa.,इस सोफ़े में बैठिए।,ఈ సోఫాలో కూర్చోండి.
,,,
సుబ్బ:,Subba:,सुब्बा:,సుబ్బ:
"పరవాలేదు, ఈ కుర్చీలో కూర్చుంటున్నాను.","It's okay, I am sitting in this chair.","कोई बात नहीं, इस कुर्सी में बैठ रहा हूँ।","పరవాలేదు, ఈ కుర్చీలో కూర్చుంటున్నాను."
,,,
రామా:,Rama:,रामा:,రామా:
ఏమిటి అలా ఉన్నారు?,Why do you look like that?,ऐसे क्यों दिख रहे हैं?,ఏమిటి అలా ఉన్నారు?
ఆరోగ్యం బాగాలేదా?,Is your health not good?,सेहत ठीक नहीं है क्या?,ఆరోగ్యం బాగాలేదా?
,,,
సుబ్బ:,Subba:,सुब्बा:,సుబ్బ:
లేదు.,No.,नहीं।,లేదు.
కొన్ని రోజులనించి గుండెలో నెప్పి వస్తోంది.,"For the last few days, I am having pain in my heart.",कुछ दिनों से दिल में दर्द है।,కొన్ని రోజులనించి గుండెలో నెప్పి వస్తోంది.
,,,
రామా:,Rama:,रामा:,రామా:
మందు తీసుకుంటున్నారా?,Are you taking medicine?,दवाई ले रहे हैं क्या?,మందు తీసుకుంటున్నారా?
,,,
సుబ్బ:,Subba:,सुब्बा:,సుబ్బ:
ఆ!,Yes!,हाँ!,ఆ!
ఈ ఇంట్లో ఎన్ని రోజులనించి ఉంటున్నావు?,How many days have you been staying in this house?,इस घर में दिनों से रह रहे हो?,ఈ ఇంట్లో ఎన్ని రోజులనించి ఉంటున్నావు?
,,,
రామా:,Rama:,रामा:,రామా:
నాలుగు నెలలనించి ఉంటున్నాను.,I have been staying here for four months.,चार महीनों से रह रहा हूँ।,నాలుగు నెలలనించి ఉంటున్నాను.
,,,
సుబ్బ:,Subba:,सुब्बा:,సుబ్బ:
ఇల్లు బాగుంది.,House is nice.,घर अच्छा है।,ఇల్లు బాగుంది.
ఇక్కడే ఉండు.,Stay here only.,यहीं रहो।,ఇక్కడే ఉండు.
మీ ఇంటతని దగ్గర బాగా డబ్బు ఉందా?,Your house-owner has a lot of money?,तुम्हारे मकान-मालिक के पास बहुत पैसा है क्या?,మీ ఇంటతని దగ్గర బాగా డబ్బు ఉందా?
,,,
రామా:,Rama:,रामा:,రామా:
ఆ!,Yes!,हाँ!,ఆ!
చాలా వుంది.,A lot.,बहुत है।,చాలా వుంది.
కొంత ఈ ఊళ్ళో బ్యాంకులో వుంది.,Some of it is in this town's bank.,कुछ इस शहर के बैंक में है।,కొంత ఈ ఊళ్ళో బ్యాంకులో వుంది.
కొంత వాళ్ళ ఊళ్ళో ఉంది.,Some of it is in his home town.,कुछ उनके शहर में है।,కొంత వాళ్ళ ఊళ్ళో ఉంది.
,,,
సుబ్బ:,Subba:,सुब्बा:,సుబ్బ:
మీ బాబు ఏడి?,Where is your son?,आप का बच्चा कहाँ है?,మీ బాబు ఏడి?
నిద్రపోతున్నాడా?,Is he sleeping?,सो रहा है क्या?,నిద్రపోతున్నాడా?
,,,
రామా:,Rama:,रामा:,రామా:
లేదండీ.,"No, sir.",नहीं जी।,లేదండీ.
పాలు తాగుతున్నాడు.,He is drinking milk.,दूध पी रहा है।,పాలు తాగుతున్నాడు.
గీతా!,Geeta!,गीता!,గీతా!
బాబును తీసుకురా!,Bring the child (male child)!,बेटे को लेकर आओ!,బాబును తీసుకురా!
,,,
సుబ్బ:,Subba:,सुब्बा:,సుబ్బ:
నిల్చుంటున్నాడా?,Does he stand?,खड़ा होता है क्या?,నిల్చుంటున్నాడా?
,,,
రామా:,Rama:,रामा:,రామా:
ఆ ఇప్పుడిప్పుడే నిల్చుంటున్నాడు.,"Yes, he has been standing only recently.","हाँ, अभी अभी खड़ा होने लगा है।",ఆ ఇప్పుడిప్పుడే నిల్చుంటున్నాడు.
బాబూ!,Child!,बेटा!,బాబూ!
నిల్చోరా!,Stand up!,खड़े हो जाओ!,నిల్చోరా!
గీతా!,Geeta!,गीता!,గీతా!
సుబ్బరామయ్యగారికి గూడా అన్నం వడ్డించు.,Serve food to Mr. Subbaramayya also.,सुब्बरामय्या जी को भी खाना परोसो।,సుబ్బరామయ్యగారికి గూడా అన్నం వడ్డించు.
పద.,Let's go.,चलो।,పద.
,,,
సుబ్బ:,Subba:,सुब्बा:,సుబ్బ:
ఏంరా!,"What, my dear boy!","ये क्या, बेटा!",ఏంరా!
నవ్వుతున్నావే!,You are laughing!,हँस रहे हो!,నవ్వుతున్నావే!
"నవ్వరా, నవ్వు!","Okay, laugh!","हँसो बेटा, हँसो!","నవ్వరా, నవ్వు!"
,,,
<h2>,,,<h2>
కొత్త పదాలు,New words,नए शब्द,కొత్త పదాలు
,,,
<ol>,,,<ol>
రేడియో ,radio,रेडियो,రేడియో 
కొను ,buy,ख़रीदो,కొను 
బజారు ,"bazaar, market area",बाज़ार,బజారు 
కొట్టు ,shop,दुकान,కొట్టు 
మోడలు,model,मॉडल,మోడలు
పెట్టు ,switch on (a radio or TV set),"चलाओ, चालू करो",పెట్టు 
ఆకశవాణి ,Aakashavaani (All India Radio channel),आकाशवाणी,ఆకశవాణి 
ఊఁ,yes,हाँ,ఊఁ
అను ,"say, utter",कहो,అను 
ఔను,yes; variant of అవును ,हाँ,ఔను
కంపెనీ ,company,कंपनी,కంపెనీ 
అలాగే!,Okay! All right,ठीक है,అలాగే!
-అయ్యా,a masculine equal address marker,,-అయ్యా
సోఫా ,sofa,सोफ़ा,సోఫా 
ఆరోగ్యం ,health,सेहत,ఆరోగ్యం 
గుండె ,heart,दिल,గుండె 
ఉండు ,stay; be; exist; wait (v),हो / रहो,ఉండు 
ఇంటతను,house-owner,मकान-मालिक,ఇంటతను
డబ్బు ,money,"धन, पैसा",డబ్బు 
కొంత ,some (mass),कुछ (परिमाणवाचक विशेषण),కొంత 
బ్యాంకు ,bank,बैंक,బ్యాంకు 
నిద్రపో ,sleep (v),सो / सो जाओ,నిద్రపో 
తాగు ,drink (v),पियो,తాగు 
నిల్చో,stand (v),खड़ो हो,నిల్చో
ఇప్పుడిప్పుడే ,very recently; only these days,अभी अभी,ఇప్పుడిప్పుడే 
వడ్డించు ,serve food,परोसो,వడ్డించు 
ఏంరా!,hey! (inf. masc. addressing),,ఏంరా!
నవ్వు ,laugh (v),हँसो,నవ్వు 
-అరా,a masculine inferior address marker,,-అరా
