te,en
వెంకటేశ్వర్లు మంచివాడేనా?,Is Venkateswarlu a good man?
,
రవి:,Ravi:
ఆ!,Yes.
ఆయన కూడా చాలా మంచివాడు.,He is also a very good man.
,
మూర్తి:,Murthy:
ఆయన తమ్ముడు?,And his brother?
,
రవి:,Ravi:
ఆయన కూడా మంచివాడే!,He is also a good man.
ఆయన పిల్లలూ మంచివాళ్ళే.,His children are good persons.
వాళ్ళందరూ మంచివాళ్ళు.,They are all nice people.
,
మూర్తి:,Murthy:
ఈ ఉత్తరం వెంకటేశ్వర్లుకు ఇవ్వు.,Give this letter to Venkateswarlu.
,
***,***
,
గోపి:,Gopi:
గిరీ!,Giri!
నీకు తెలుగులో ఎన్ని మార్కులు?,How many marks did you get in Telugu?
,
గిరి:,Giri:
నాకు నూటికి అరవైనాలుగు.,I got sixty four percent.
,
గోపి:,Gopi:
హరికి ఎన్ని?,How many did Hari get?
రాజుకు ఎన్ని?,How many did Raju get?
,
గిరి:,Giri:
హరికి డెబ్భై.,Hari got 70.
రాజుకు డెబ్భైరెండు.,Raju got 72.
,
గోపి:,Gopi:
సుశీలకెన్ని?,How many did Susila get?
గౌరికెన్ని?,How many did Gowri get?
,
గిరి:,Giri:
సుశీలకు ఎనభై.,Susila got 80.
గౌరికి ఎనభైఒకటి.,Gowri got 81.
,
గోపి:,Gopi:
ఏమండీ శర్మగారూ!,"Hello, Mr Sharma!"
మీకు లెక్కలలో ఎన్ని మార్కులు?,How many marks did you get in mathematics?
,
శర్మ:,Sharma:
నూటికి నూరు మార్కులు.,I got cent percent.
,
గోపి:,Gopi:
సైన్సులో ఎన్ని?,How many in science?
,
శర్మ:,Sharma:
తొంభైఆరు.,Ninety six.
,
***,
,
సుబ్బయ్య:,Subbayya:
ఏమండీ!,"Hello, Mr Giri!"
గిరిగారూ మీరు ఎంతమంది అన్నదమ్ములు?,How many brothers are you?
,
గిరి:,Giri:
నాకు అన్నదమ్ములు లేరండీ!,"I have no brothers, sir!"
నేను ఒకణ్ణే.,I am only one.
,
సుబ్బయ్య:,Subbayya:
సరళగారూ!,Ms Sarala!
మీరు ఎంతమంది అక్కజెల్లెళ్ళు?,How many sisters are you?
,
సరళ:,Sarala:
నాకు కూడా అక్కజెల్లెళ్ళు లేరండీ.,"I too have no sisters, sir!"
నేనూ ఒకతెనే!,I am also (only) one.
,
సుబ్బయ్య:,Subbayya:
ఏమండీ!,Hey (respectfully)!
రామారావుగారూ!,Ramarao!
మీరు ఎంతమంది అన్నదమ్ములు?,How many brothers are you?
,
రామారావు:,Ramarao:
మేం ముగ్గురం.,We are three.
నాకు అన్నలు లేరు.,I don’t have elder brothers.
ఇద్దరు తమ్ముళ్ళు.,I have two younger brothers.
,
సుబ్బయ్య:,Subbayya:
మీకు అక్కజెల్లెళ్ళు ఉన్నారా?,Do you have sisters?
,
రామారావు:,Ramarao:
అక్కలు లేరండీ.,"I don’t have elder sisters, sir."
ఇద్దరు చెల్లెళ్ళు.,I have two younger sisters.
,
సుబ్బయ్య:,Subbayya:
మీ చెల్లెళ్ళు ఇక్కడే ఉన్నారా?,Are your sisters here?
,
రామారావు:,Ramarao:
ఒక చెల్లెలు ప్రస్తుతం ఇక్కడ లేదు.,One is not here at present.
విజయవాడలో మా బాబాయి గారింట్లో ఉంది.,She is at my uncle’s house in Vijayawada.
,
సుబ్బయ్య:,Subbayya:
మీ బాబాయిగారికి పిల్లలు లేరా?,Doesn’t your uncle have children?
,
రామారావు:,Ramarao:
మగపిల్లలున్నారండీ!,He has male children.
ఆడపిల్లలు లేరు.,He doesn't have female children.
,
సుబ్బయ్య:,Subbayya:
అయితే మీ బాబాయిగారికి కొడుకులు ఉన్నారు కాని కూతుళ్ళు లేరన్నమాట!,"Then, your uncle has sons and not daughters!"
,
రామారావు:,Ramarao:
అవునండీ.,"Yes, sir."
ఆయనకు ఇద్దరు కొడుకులు.,He has two sons.
,
<h2>,
కొత్త పదాలు,New words
,
<ol>,
-కు/-కి,dative case suffix
ఉద్యోగం,job; employment
ఊరు,village; town
ఏలూరు,Eluru (a town)
ఊళ్ళో,in the town (locative form of ఊరు)
ఊళ్ళు ,villages / towns (plural form of ఊరు)
పెద్ద,big; large; elder
చిన్న,small; little
ఆడ,female
మగ,male
ఏళ్ళు ,years (plural of ఏడు)
ఏడు,year
ఆడపిల్ల,girl
మగపిల్లవాడు,boy
-వారు,(human epicene honorific predicate marker)
-వాళ్ళు,(human epicene plural predicate marker)
ఉత్తరం,letter
అందం,beauty
డిగ్రీ,degree
మార్కు,mark (n)
అరవై,sixty
డెబ్భై,seventy
ఎనభై,eighty
లెక్కలు,mathematics
నూటికి,per cent
సంవత్సరం,year
చదువు,education
కాని,but
చాలా,very (adv.)
-ది,(feminine non-honorific predicate marker)
వాడు,(masculine non-honorific predicate marker)
విజయవాడ,Vijayawada (a city)
బాబాయి,father’s younger brother; mother’s younger sister’s husband
నూరు,hundred
సైన్సు,science
తొంభై,ninety
అన్న/అన్నయ్య,elder brother
అక్కచెల్లెళ్లు/అక్కజెల్లెళ్లు,sisters
అక్క,elder sister; అక్కయ్య 
ప్రస్తుతం,"at present, currently"
ఇంట్లో,in the house (locative case form of ఇల్లు)
