te,en,hi
విజయ:,Vijaya:,विजया:
నాతో చెప్పాడు అసలు రాను అని.,He told me that he would never come.,"मुझे कहा, ""बिल्कुल नहीं आऊँगा।"""
,,
గోపాలరావు:,Gopalarao:,गोपालराव:
అయితే ఎవరితో చెప్పిన మాటలు నమ్మాలి?,Then what should we believe?,तो फिर किससे कही बात का यकीन करें?
,,
జ్యోతి:,Jyoti:,ज्योति:
వాడి మాటలు నమ్మటానికి వీలు లేదు సార్.,"We cannot believe his words, sir.",उसकी बातों का यकीन करना मुमकिन नहीं है।
చెప్పింది చెయ్యడు; చేసేది చెప్పాడు.,He will not do what he would say; and he would not tell what he would do.,जो कहता है वह करता नहीं; जो करता है वह कहता नहीं।
,,
రవి:,Ravi:,रवि:
అడుగో సార్ సుబ్బారావు వస్తున్నాడు.,"Sir, Subbarao is coming.","वह देखिए जी, सुब्बाराव आ रहा है।"
,,
సుబ్బారావు:,Subbarao:,सुब्बाराव:
నమస్కారం సార్.,"Namaskaaram, sir.","नमस्कार, जी।"
,,
గోపాలరావు:,Gopalarao:,गोपालराव:
ఏమోయ్!,Hey!,ओए!
రాజుతో రేపు వస్తాను అన్నావు; ఎల్లుండి వస్తాను అని రాముతో అన్నావు; అసలు రాను అన్నావు విజయతో.,"You told Raju that you would come tomorrow; you told Ramu that you would come day after tomorrow, and to Vijaya that you would never come.","राजू को ""कल आऊँगा"" बोला; ""परसों आऊँगा"" ऐसा रामू को बोला; ""बिल्कुल नहीं आऊँगा"" बोला विजया को।"
మరి ఇవ్వేళ వచ్చావేం?,Then why did you come today?,तो फिर आज क्यों आए हो?
,,
సుబ్బారావు:,Subbarao:,सुब्बाराव:
ఇవేళరాను అని ఎవరితోనూ అనలేదు గదండి!,"I did not tell anyone that I would not come today, did I?","आज नहीं आऊँगा ऐसा किसी को नहीं बोला, है ना?"
,,
గోపాలరావు:,Gopalarao:,गोपालराव:
ఇట్లా అయితే నీ మాటలు ఎవరైనా అసలు నమ్ముతారా?,"If so, will anyone ever believe your words?",ऐसा है तो तुम्हारी बातों का कोई यकीन करेगा क्या?
,,
సుబ్బారావు:,Subbarao:,सुब्बाराव:
అది వాళ్ళ ఇష్టమండి!,"It is up to them, sir.",वह उनकी मर्जी है।
,,
<h2>,,
కొత్త పదాలు,New words,नए शब्द
,,
<ol>,,
ప్రాథమిక,"primary, fundamental",प्राथमिक
పరిశోధనా సంస్థ,research institute,
కంప్యూటర్,computer,कंप्यूटर
విభాగం,"section, division",विभाग
సంగీతం,music,संगीत
ప్రయోగం,experiment (noun),प्रयोग
విజయవంతం,successful,सफल
సంగీతశాస్త్రం,the science of music,संगीत शास्त्र
సదస్సు,seminar / gathering,
విశేషాంశం,special feature,
సంస్థ,institute,संस्थान
చెందిన,belonging to,से (आए/आई)
శ్రీమతి,Mrs.,श्रीमती
తేదీ,date,तारीख़
వ్యాసం,essay,लेख
సమర్పించు,submit / present (v.tr.),समर्पित करो
నిర్వహించు,organize / execute,
సహాయ,assistant (adj),सहायक (विशेषण)
కార్యదర్శి,secretary,सचिव
నేడు,today,आज
పై,on / upon / above,पर
విలేఖరి,correspondent,संवाददाता
వెల్లడించు,inform,सूचित करो
తెలియజెయ్యి,inform,सूचित करो
వీణ,veena (a musical instrument),वीणा
ఇతర,(and) other,(और) अन्य
కర్ణాటక సంగీతం,Carnatic music,कर्णाटक संगीत
ద్వారా,through,द्वारा
వినిపించు,make (someone) listen,सुनाओ
కుటుంబ,family,परिवार
నియంత్రణ,plan / planning,नियंत्रण
జ్యోతిష్కుడు,astrologer,ज्योतिषी
నమ్ము,believe,यकीन करो
