te,en,_hi,_te_TG
తక్కిన జిల్లాలలో తిట్టటం అని పెద్దగా మాట్లాడటం అని అర్థం.,In the other districts it means 'scolding' or ' talking loudly' or 'shouting'.,,తక్కిన జిల్లాలలో తిట్టటం అని పెద్దగా మాట్లాడటం అని అర్థం.
,,,
రాము:,Ramu:,,రాము:
గమ్మత్తుగా ఉందే!,This is strange/funny/weird!,,గమ్మత్తుగా ఉందే!
,,,
మోహన్:,Mohan:,,మోహన్:
అవును.,Yes.,,అవును.
అలాగే 'కంగారు' అనే మాట ఉంది.,Similarly the word 'kangaaru'.,,అలాగే 'కంగారు' అనే మాట ఉంది.
,,,
రాము:,Ramu:,,రాము:
దానికి గూడా రెండర్థాలున్నాయా?,That also has two meanings?,,దానికి గూడా రెండర్థాలున్నాయా?
,,,
మోహన్:,Mohan:,,మోహన్:
అదే చెప్పబోతున్నాను.,I was about to tell you.,,అదే చెప్పబోతున్నాను.
"గోదావరి, విశాఖపట్నం జిల్లాలలో కంగారు అంటే తొందర అని అర్థం.","In the districts of Godavari and Visakhapatnam, 'kangaaru' means 'fast' or 'haste'.",,"గోదావరి, విశాఖపట్నం జిల్లాలలో కంగారు అంటే తొందర అని అర్థం."
"గుంటూరు, కృష్ణా జిల్లాలలో ఈ మాటకు confusion అని అర్థం.","In the districts of Guntur and Krishna, this word means 'confusion'.",,"గుంటూరు, కృష్ణా జిల్లాలలో ఈ మాటకు confusion అని అర్థం."
,,,
రాము:,Ramu:,,రాము:
ఇటువంటి మాటలు ఇంకా ఉన్నాయా?,Are there any more such words?,,ఇటువంటి మాటలు ఇంకా ఉన్నాయా?
,,,
మోహన్:,Mohan:,,మోహన్:
చాలా వున్నాయి.,There are a lot.,,చాలా వున్నాయి.
,,,
రాము:,Ramu:,,రాము:
నిన్న పరీక్ష రాస్తున్నప్పుడు కంగారు పడ్డాను అని అతనే అన్నాడు.,"Yesterday while writing the exam, he himself said he was confused.",,నిన్న పరీక్ష రాస్తున్నప్పుడు కంగారు పడ్డాను అని అతనే అన్నాడు.
అతను సరీగ్గా పరీక్ష రాసినట్లులేడు.,It seems like he hasn't written the exam well.,,అతను సరీగ్గా పరీక్ష రాసినట్లులేడు.
,,,
మోహన్:,Mohan:,,మోహన్:
అవును.,Yes.,,అవును.
అదుగో గోపి వస్తున్నట్లున్నాడు.,"Look, it seems like Gopi is coming.",,అదుగో గోపి వస్తున్నట్లున్నాడు.
ఇక నేను వెళ్లాల్సిన పని లేదు.,There is no need for me to go anymore.,,ఇక నేను వెళ్లాల్సిన పని లేదు.
,,,
గోపి:,Gopi:,,గోపి:
మోహన్!,Mohan!,,మోహన్!
నువ్వెంత ఎక్కువ మాట్లాడ్తావో అంత తక్కువ పని చేస్తావురా!,Your working (productivity) seems inversely proportional to your talking. You work so little and talk so much - both are proportional!,,నువ్వెంత ఎక్కువ మాట్లాడ్తావో అంత తక్కువ పని చేస్తావురా!
,,,
మోహన్:,Mohan:,,మోహన్:
నేను బయల్దేరి చాలాసేపు అయిందిరా!,It's been a long time since I started.,,నేను బయల్దేరి చాలాసేపు అయిందిరా!
 ఇంతలో వీడితో ఏదో మాట్లాడ్తూ ఆగాను.,"Meanwhile, I stopped as I was talking to him about something.",, ఇంతలో వీడితో ఏదో మాట్లాడ్తూ ఆగాను.
,,,
గోపి:,Gopi:,,గోపి:
చేస్తాను అని చెప్పిన పని ఒకటి గూడా చెయ్యవు గదా!,You don't do a single thing which you promise to do.,,చేస్తాను అని చెప్పిన పని ఒకటి గూడా చెయ్యవు గదా!
నువ్వు వచ్చేటట్లు లేవు అనుకొని నేనే వచ్చాను.,"It looked like you will not come, so I came.",,నువ్వు వచ్చేటట్లు లేవు అనుకొని నేనే వచ్చాను.
,,,
మోహన్:,Mohan:,,మోహన్:
వేణును పిలిచి వచ్చావా?,Did you call Venu and come?,,వేణును పిలిచి వచ్చావా?
,,,
గోపి:,Gopi:,,గోపి:
నేను వెళ్లేలోగా వాడు ఎక్కడికో పోయాడు.,Before I could reach (him) he went somewhere.,,నేను వెళ్లేలోగా వాడు ఎక్కడికో పోయాడు.
,,,
మోహన్:,Mohan:,,మోహన్:
వాణ్ణి తీసుకురాకుండా నువ్వు ఒక్కడివే వస్తే ఎట్లా.,If you come without bringing him then how(What's the use?).,,వాణ్ణి తీసుకురాకుండా నువ్వు ఒక్కడివే వస్తే ఎట్లా.
,,,
గోపి:,Gopi:,,గోపి:
పరవాలేదు.,It's alright/okay.,,పరవాలేదు.
నిన్న వాడికి చెప్పని లెక్కలు నాకు చెప్పు.,Teach me the problems/sums you didn't teach him yesterday.,,నిన్న వాడికి చెప్పని లెక్కలు నాకు చెప్పు.
నేను నేర్చుకున్న లెక్కలు వాడికి చెప్పి నేను నేర్చుకోని లెక్కలు వాడి దగ్గర నేర్చుకుంటాను.,"The sums I learn, I will teach them to him and the sums which I haven't learnt, I will learn from him.",,నేను నేర్చుకున్న లెక్కలు వాడికి చెప్పి నేను నేర్చుకోని లెక్కలు వాడి దగ్గర నేర్చుకుంటాను.
,,,
మోహన్:,Mohan:,,మోహన్:
అలాగే.,Okay.,,అలాగే.
,,,
గోపి:,Gopi:,,గోపి:
రేపటినించీ నేనూ వేణూ యిక్కడికి రాదలచుకున్నాం.,"From tomorrow, Venu and I decided to come here.",,రేపటినించీ నేనూ వేణూ యిక్కడికి రాదలచుకున్నాం.
,,,
<h2>,,,
కొత్త పదాలు,New words,नए शब्द,కొత్త పదాలు
,,,
<ol>,,,<ol>
అరుచ్ ,shout (v),,అరుచ్ 
మొరుగు ,bark (v),,మొరుగు 
అర్థం ,meaning,,అర్థం 
గమ్మత్తు ,funny (strange),,గమ్మత్తు 
కంగారు ,confusion (hurry burry),,కంగారు 
కంగారుపడు ,get confused (be in a hurry or be all over the place),,కంగారుపడు 
లెక్క ,mathematical problem,,లెక్క 
