te,en
ఒకటి కాదు రెండు చెట్లున్నాయి.,Not one; there are two.
అవిగో!,There they are!
,
సరళ:,Sarala:
అబ్బా!,Oh!
మీ చెట్లకు చాలా పూలున్నాయే!,Your plants have many flowers.
మీ ఇంట్లో గులాబీ చెట్లు లేవా?,Don’t you have rose plants in your house?
,
కమల:,Kamala:
లేవు.,No.
,
సరళ:,Sarala:
"మా ఇంట్లో ఒక మల్లె చెట్టూ, ఒక గులాబీ చెట్టూ ఉన్నాయి.",We have one jasmine plant and one rose plant in our house.
,
కమల:,Kamala:
పెద్ద చెట్లా?,Are they big plants?
చిన్న చెట్లా?,Or small?
,
సరళ:,Sarala:
మల్లె చెట్టు చిన్నది; గులాబీ చెట్టు పెద్దది.,The jasmine plant is small and the rose plant is big.
దానికి ఆరు కొమ్మలున్నాయి.,It has six branches.
,
కమల:,Kamala:
బాగుంది.,Good.
ఇది కొత్త టేప్ రికార్డరా?,Is this a new tape recorder?
,
సరళ:,Sarala:
అవును.,Yes.
,
కమల:,Kamala:
ఈ టేప్ రికార్డర్ జపాన్ దా?,Is this tape-recorder made in Japan?
,
సరళ:,Sarala:
కాదు; ఇండియాదే!,"No, it is an Indian one."
ఈ పాట విను.,Listen to this song.
బాగుంది కదూ!,"It is nice, isn’t it?"
,
కమల:,Kamala:
అవును.,Yes.
,
<h2>,
కొత్త పదాలు,New words
,
<ol>,
ఏమేం,what (pl.)
సీసా,bottle (n)
ఉన్నది,see ఉంది (lesson 4 & 7)
మందు,medicine
అంటే,means (used to elicit the meaning of a word)
జ్వరం,fever
కడుపు,stomach
నొప్పి/నెప్పి,pain
పిన్ని,mother’s younger sister or the wife of the father’s younger brother
తల,head
చెవి,ear
ఇక/ఇంక,now onwards/hereafter
పాఠం,lesson
విను,hear
అమరావతి,Amaravati (Capital city of Andhra Pradesh)
రాష్ట్రం/ రాష్ర్టం,a political state
ఆంధ్రప్రదేశ్,the state of Andhra Pradesh
జిల్లా,district
శివాలయం,Lord Siva Temple
బౌద్ధస్థూపం ,Bouddha/Buddhist Stupa
కృష్ణానది,River Krishna
మ్యూజియం,museum
రైలు,train
మాత్రమే,only
ఫోను,phone
హర్యానా,the state of Haryana
కేరళ,the state of Kerala
ఒరిస్సా,the state of Orissa
బెంగాలీ,Bengali (an Indian language)
తక్కిన,the remaining (adj.)
మధ్యప్రదేశ్,the state of Madhya Pradesh
మరాఠీ,Marathi (an Indian language)
కర్ణాటక,the state of Karnataka
మహారాష్ట్ర,the state of Maharashtra
చెప్పు,say/teach
అబ్బ!,an interjection of grief or pain or admiration.
మల్లె,jasmine
చెట్టు,tree
కొమ్మ,branch of a tree
టేప్ రికార్డర్,tape-recorder
జపాన్,Japan
ఇండియా,India
పాట,song
