te,en
సరేనమ్మా!,"All right, my dear!"
,
సర్వర్:,Server:
ఇదిగోనండీ పంచదార.,"Here is sugar, sir!"
,
అంజయ్య:,Anjayya:
అంత పంచదార అక్కర్లేదు.,I don't need that much sugar.
సగం చాలు.,Half of it is sufficient.
,
పాప:,Papa:
నాకు కూడా అంత అక్కర్లేదు; సగం చాలు.,I too don't need that much; Half of it is fine.
,
రతిరామ్:,Rathiram:
నాకు సగం చాలదు.,Half of it is not enough for me.
,
అంజయ్య:,Anjayya:
ఇప్పుడు బాగుంది.,Now it is good.
,
రతిరామ్:,Rathiram:
చాలా బాగుంది.,"It's very good, indeed."
,
<h2>,
కొత్త పదాలు,New words
,
<ol>,
పంచదార,sugar
అక్కర్లేదు,not necessary
చాలవు,not sufficient (pl.)
-నుంచి/-నించి,from
రాత్రి,night
పగలు,day-time
దూరం,distance
దాదాపు or సుమారు,approximately
వెయ్యి,thousand
మైలు,a mile
వంద,hundred
నూట-,hundred and...
చాలు,sufficient
కిలోమీటరు,kilometer 
టిక్కెట్టు,ticket
-గాని,or
ఫర్లాంగు,furlong
చేదు,bitter
ఏమమ్మా,hey! (eql. fem. addressing)
తియ్యగా,sweetly (adv.)
చప్పగా,insipidly (adv.)
కాషాయం,a medicated decoction which is bitter in taste
ఇంత,this much
-ఏం,why
బాగానే,good/all right (with emphasis)
అలవాటు,habit
తీపి,sweetness
గూడా,also (a variant of కూడా)
అంత,that much
సగం,half
చాలదు,not sufficient
