te,en,hi
నీకు మూడు చపాతీలు చాలా?,Will three chapathies be sufficient for you?,तुम्हें तीन चपातियाँ काफ़ी हैं क्या?
,,
మెహకార్ సింగ్:,Mehkar Singh:,महकार सिंह:
నన్ను ఏమీ అడగకు.,Don't ask me anything.,मुझे कुछ मत पूछो।
అడుగో మెస్సు సెక్రెటరీ.,There is the secretary.,"वो देखो, mess secretary।"
ఆయనను అడుగు.,Ask him.,उन्हें पूछो।
,,
నందకుమార్:,Nandakumar:,नंदकुमार:
"ఊర్కో, రతిరామ్.","Ratiram, be quiet.","चुप रहो, रतिराम।"
,,
శర్మ:,Sharma:,शर्मा:
రతిరామ్!,Ratiram!,रतिराम!
ఒక పనిచెయ్యి.,Do one thing.,एक काम करो।
నా చపాతీలు తీసుకో!,You take my chapathies.,मेरी चपातियाँ ले लो।
,,
రతిరామ్:,Rathiram:,रतिराम:
నీ చపాతీలు ఒకటి కూడా నాకు అక్కర్లేదు.,I don't need any of your chapaties.,तुम्हारी एक भी चपाती मुझे नहीं चाहिए।
,,
శర్మ:,Sharma:,शर्मा:
"అయితే పో, సెక్రెటరీనే అడుగు.","Then go, and ask the secretary only.","तो जाओ, secretary को ही पूछो।"
,,
రతిరామ్:,Rathiram:,रतिराम:
ఆ!,Yes (I will).,हाँ।
నారాయణా!,Narayana!,नारायण!
మూడు చపాతీలు అయితే నాకు అక్కర్లేదు.,I don't want if it is three chapathies.,तीन चपातियाँ हैं तो मुझे नहीं चाहिए।
తీసుకుపో!,Take them away!,ले जाओ!
,,
<h2>,,
కొత్త పదాలు,New words,नए शब्द
,,
<ol>,,
సినిమా,cinema,
సహాయం,help (n),सहायता
చెయ్యి,do (v),करो
పో ,go (v),जाओ
-తో,with,से
మాట్లాడు,talk (v),बात करो
వేరే,other,दूसरे (other)
డబ్బులు,money,पैसे
విషయం,matter,विषय
వీలు,possibility; convenience,मुमकिन
మెస్సు,mess,
పద,come on; let's go!,
అన్నం,food; cooked rice.,खाना / चावल
కంచం,plate used to eat food,प्लेट
కడుగు,wash (v),धो
చపాతీ ,"chapātī, a pan cake made of wheat flour",चपाती
అనవసరం,not necessary,
కనీసం,at least ,कम-से-कम
సెక్రెటరీ,secretary,
అడుగు,ask,पूछो
నన్ను ,me (accusative form of నేను),मुझे ('मैं' का कर्म कारक)
ఊర్కో,keep quiet ,चुप रहो
తీసుకుపో,take away,ले जाओ
