te,en,_hi,_te_TG
రేపు సెలవే కదా!,"Tomorrow is holiday, right?",,రేపు సెలవే కదా!
రేపు ఉదయం రా!,Come tomorrow morning.,,రేపు ఉదయం రా!
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
అలాగే!,Okay!,,అలాగే!
,,,
శర్మ:,Sharma:,,శర్మ:
రా ప్రసాద్!,"Come on, Prasad.",,రా ప్రసాద్!
మా పక్క ఇల్లు ఖాళీగానే ఉంది.,Our neighbouring house is vacant.,,మా పక్క ఇల్లు ఖాళీగానే ఉంది.
కాని వంటయిల్లు చిన్నది.,But the kitchen is small.,,కాని వంటయిల్లు చిన్నది.
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
పద.,Come on.,,పద.
చూపించు.,Show it.,,చూపించు.
,,,
శర్మ:,Sharma:,,శర్మ:
రా!,Come.,,రా!
ఇదే ఇల్లు.,This is the house.,,ఇదే ఇల్లు.
ఈ పాప ఇంటివాళ్ళ అమ్మాయి.,This papa (girl child) is the daughter of the landlord.,,ఈ పాప ఇంటివాళ్ళ అమ్మాయి.
పాపా!,child!,,పాపా!
అక్కయ్య ఏం చేస్తోందమ్మా?,What is your sister doing?,,అక్కయ్య ఏం చేస్తోందమ్మా?
,,,
పాప:,Child:,,పాప:
పెద్దక్కయ్య వంటయింట్లో ఉన్నదండీ.,"My elder sister is in the kitchen, sir!",,పెద్దక్కయ్య వంటయింట్లో ఉన్నదండీ.
వంటచేస్తోంది.,She is cooking.,,వంటచేస్తోంది.
చిన్నక్కయ్య పక్కవాళ్ళ అమ్మాయితో ఆడుతోంది.,The younger sister is playing with a girl from next door.,,చిన్నక్కయ్య పక్కవాళ్ళ అమ్మాయితో ఆడుతోంది.
దానికి ఎప్పుడూ ఆటలేనండీ!,All the time she indulges in games.,,దానికి ఎప్పుడూ ఆటలేనండీ!
,,,
శర్మ:,Sharma:,,శర్మ:
నువ్వు కూడా ఆడు.,You too play!,,నువ్వు కూడా ఆడు.
,,,
పాప:,Child:,,పాప:
ఉదయం ఆడటం మంచిది కాదండీ!,"Playing in the mornings is not good, sir!",,ఉదయం ఆడటం మంచిది కాదండీ!
,,,
శర్మ:,Sharma:,,శర్మ:
అలాగా!,I see!,,అలాగా!
నువ్వు చాలా మంచిదానివి.,You are a good girl.,,నువ్వు చాలా మంచిదానివి.
ఈ చాక్లెట్లు తీసుకో!,Take these chocolates.,,ఈ చాక్లెట్లు తీసుకో!
,,,
పాప:,Child:,,పాప:
ఒకటి చాలండీ!,"One is enough, sir!",,ఒకటి చాలండీ!
ఎక్కువగా తినటం మంచిది కాదు.,Eating too much is not good.,,ఎక్కువగా తినటం మంచిది కాదు.
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
పాపా!,Child!,,పాపా!
ఇప్పుడు నువ్వేం చదువుతున్నావు?,What are you studying presently?,,ఇప్పుడు నువ్వేం చదువుతున్నావు?
,,,
పాప:,Child:,,పాప:
ఇప్పుడు నేను చదవటంలేదండీ!,I am not studying anything now!,,ఇప్పుడు నేను చదవటంలేదండీ!
పుస్తకానికి అట్ట వేస్తున్నాను.,I am puttinga covering on the book.,,పుస్తకానికి అట్ట వేస్తున్నాను.
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
అది కాదమ్మా!,"No, not that my dear!",,అది కాదమ్మా!
నువ్వు ఇప్పుడు ఎన్నో తరగతి చదువుతున్నావు అంటున్నాను.,I am saying what class are you in now.,,నువ్వు ఇప్పుడు ఎన్నో తరగతి చదువుతున్నావు అంటున్నాను.
,,,
పాప:,Child:,,పాప:
రెండో తరగతి చదువుతున్నానండీ!,"I am in second standard, sir!",,రెండో తరగతి చదువుతున్నానండీ!
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
అలాగా!,I see!,,అలాగా!
ఇప్పుడు మీ బళ్ళో ఏం పాఠం చెప్తున్నారు?,What lesson are they teaching now in your school?,,ఇప్పుడు మీ బళ్ళో ఏం పాఠం చెప్తున్నారు?
,,,
పాప:,Child:,,పాప:
ఇప్పుడు పాఠాలు చెప్పటం లేదండీ!,"Now they are not teaching any lessons, sir.",,ఇప్పుడు పాఠాలు చెప్పటం లేదండీ!
"కథలు, పాటలు చెబుతున్నారు.","They are tellling stories, and songs.",,"కథలు, పాటలు చెబుతున్నారు."
బొమ్మలు వేయటం కూడా నేర్పుతున్నారు.,They are also teaching drawing pictures.,,బొమ్మలు వేయటం కూడా నేర్పుతున్నారు.
,,,
 ప్రసాద్:,Prasad:,, ప్రసాద్:
"ఏది, ఒక పాట పాడు.","Then, sing a song.",,"ఏది, ఒక పాట పాడు."
,,,
పాప:,Child:,,పాప:
పాడుతున్నాను;,I am singing;,,పాడుతున్నాను;
వినండి.,"Please listen, sir.",,వినండి.
,,,
<h2>,,,<h2>
కొత్త పదాలు,New words,नए शब्द,
,,,
<ol>,,,<ol>
కష్టం ,difficulty,परेशानी,కష్టం 
అంతా ,all over; every where,,అంతా 
చీకటి ,darkness,,చీకటి 
వెలుతురు ,light (n),,వెలుతురు 
అంతే కాదు ,not only that,,అంతే కాదు 
ఆఫీసు ,office,,ఆఫీసు 
ఎంతో ,so much; a lot,,ఎంతో 
-కంటె ,than (comparative marker),,-కంటె 
చెడ్డ,bad,,చెడ్డ
చూపించు ,to show (v.t.),,చూపించు 
ఎప్పుడూ ,always,,ఎప్పుడూ 
ఆటో ,auto-rikshaw,,ఆటో 
పెద్ద ,elder (adj.),,పెద్ద 
వంటయిల్లు ,kitchen,,వంటయిల్లు 
వంట ,cooking,,వంట 
చిన్న ,younger (adj.),,చిన్న 
ఆడు ,to play(v.),,ఆడు 
అట్ట ,a wrapper; cover page of a book; a card board,,అట్ట 
బొమ్మలు వెయ్యి ,to draw pictures (v.),,బొమ్మలు వెయ్యి 
నేర్పు ,teach (a skill) (v.),,నేర్పు 
పాడు ,to sing,,పాడు 
