te,en
ఇదిగో తాతయ్యా!,"Here it is, Grandfather."
నీ పుస్తకం ఇక్కడుంది.,Your book is here.
,
తాతయ్య:,Taatayya:
ఎక్కడ?,Where?
,
రాము:,Ramu:
ఈ సంచీ పక్కన.,By side of this bag.
,
విజయ:,Vijaya:
ఇది తాతయ్య పుస్తకం కాదు.,This is not grandfather’s book.
ఇక్కడ తాతయ్య పుస్తకం లేదు.,His book is not here.
,
తాతయ్య:,Taatayya:
అయితే మీరిద్దరూ వెతకండి.,Then both of you search for it.
బాగా వెతకండి.,Search thoroughly.
,
రాము:,Ramu:
ఆ పెట్టెలో ఉందేమో!,It might be in that box (trunk).
,
గోపి:,Gopi:
అవును.,Yes.
తాతయ్య వస్తువులన్నీ ఆ పెట్టెలోనే ఉన్నాయి.,All those things which belong to grandfather are in that trunk.
,
రాము:,Ramu:
గోపీ!,Gopi!
నువ్వు కొంచెం పక్కకు జరుగు.ఇదుగో తాతయ్యా!,Move a little to the side.
నీ పుస్తకం.,Yes.
ఈ పెట్టెలోనే ఉంది.,"Here is your book, grandfather.It is in this box."
తీసుకో!,Take it.
,
గోపి:,Gopi:
తాతయ్యా!,Grandfather!
నీ పుట్టినరోజు ఎప్పుడు తాతయ్యా?,When is your birthday?
,
తాతయ్య:,Taatayya:
నవంబరు ఆరో తారీఖున.,On the sixth of November.
,
రాము:,Ramu:
ఆరోజు దీపావళి కదా!,"On that day it was Deepavali, isn’t it?"
,
తాతయ్య:,Taatayya:
"అవును, దీపావళి రోజున నా పుట్టినరోజు.","Yes, my birthday is on Deepavali day."
,
రాము:,Ramu:
ఆ పుస్తకంలో ఏం ఉంది తాతయ్యా!,"What is there in that book, grandfather?"
,
తాతయ్య:,Taatayya:
మంచి పాటలున్నాయి.,There are very good songs.
రండి.,Come on!
మీరందరూ నా పక్కన కూర్చోండి.,All of you sit beside of me.
రామూ ఈ పాట చదువు.,"Ramu, read this song."
మీరందరూ చదవండి.,All of you read it.
ఈ పాటలో మంచి పొడుపు కథ ఉంది.,There is a good riddle in this song.
,
(పాట మొదలు),(song starts)
,
నేనెవరిని?,Who am I?
,
బాబూ! బాబూ!,Babu! Babu!
నేనెవరిని?,Who am I?
,
పాపా! పాపా!,Papa! Papa!
నేనెవరిని?,Who am I?
,
కాలు లేదు,There is no leg
,
కదలిక ఉన్నది,but movement.
,
రూపం లేదు,There is no shape
,
కొలత ఉన్నది,but measurement.
,
బాబూ! బాబూ!,Babu! Babu!
నేనెవరిని?,Who am I?
,
పాపా! పాపా!,Papa! Papa!
నేనెవరిని?,Who am I?
,
ఎండ!,Sun!
,
నా పేరు ఎండ కాదు - దాని వేడి నాకు లేదు.,"My name is not sun, I don’t have its heat;"
,
నా పేరు ఎండ కాదు - దాని వేడి నాకు లేదు.,"My name is not sun, I don’t have its heat;"
,
ఓ..,O..
,
బాబూ! బాబూ!,Babu! Babu!
నేనెవరిని?,Who am I?
,
పాపా! పాపా!,Papa! Papa!
నేనెవరిని?,Who am I?
,
గాలి!,Wind!
,
నా పేరు గాలి కాదు - దాని శక్తి నాకు లేదు.,"My name is not wind, I don’t have its power."
,
నా పేరు గాలి కాదు - దాని శక్తి నాకు లేదు.,"My name is not wind, I don’t have its power."
,
ఓ..,O..
,
బాబూ! బాబూ!,Babu! Babu!
నేనెవరిని?,Who am I?
,
పాపా! పాపా!,Papa! Papa!
నేనెవరిని?,Who am I?
,
కాలం!,Time!
,
అవును! అవును!,Yes! Yes!
,
ఎండ కాదు నా పేరు,"Sun is not my name,"
,
గాలి కాదు నా పేరు,"Wind is not my name,"
,
కాలం పాపా నా పేరు,"Papa, my name is time,"
,
కాలం బాబూ నా పేరు,"Babu, my name is time."
,
కాలు లేదు,There is no leg
,
కదలిక ఉన్నది,but movement.
,
రూపం లేదు,There is no shape
,
కొలత ఉన్నది,but measurement.
,
బాబూ! బాబూ!,Babu! Babu!
నేనెవరిని?,Who am I?
,
పాపా! పాపా!,Papa! Papa!
నేనెవరిని?,Who am I?
,
బాబూ! బాబూ!,Babu! Babu!
నేనెవరిని?,Who am I?
,
పాపా! పాపా!,Papa! Papa!
నేనెవరిని?,Who am I?
,
రాము:,Ramu:
పాట చాలా బాగుంది తాతయ్యా!,"The Song is very good, grandfather!"
,
తాతయ్య:,Taatayya:
బాగుందా?,Is it good?
సరే!,OK.
ఇక అందరూ స్కూలుకు వెళ్ళండి.,All of you go to school now.
,
పిల్లలు:,Kids:
సరే తాతయ్యా!,OK grandfather!
,
తాతయ్య:,Taatayya:
పాపా!,Papa!
నువ్వు మీ ఇంటికి వెళ్లు.,You go to your house.
,
<h2>,
కొత్త పదాలు,New words
,
<ol>,
పొడుపు కథ,a riddle
సాయంత్రం,evening
గుడి,temple
నాటకం,theatrical play
గుళ్ళు,temples (plural form of గుడి)
గుళ్ళో,in the temple
అందరం,all of us
సినిమా హాలు,cinema theatre
అబద్ధం,a lie; a false statement
ఉదయం,morning
మధ్యాహ్నం,afternoon
ఏమో,It is not known (See 15.1.3.)
ఓ₂             ,dubitative marker (See 15.1.)
వెతుకు,search (v)
బాగా,"well, nicely (adv.)"
-ఏమో,dubitative particle (See 15.1.2.)
వస్తువు,a thing; an article
కొంచెం,just; a little
పక్క,side (n)
జరుగు,to move aside
చదువు,to read; to study
కదలిక,movement
కాలు,leg 
కొలత,measurement
రూపం ,shape (n)
ఎండ,sun
వేడి,heat (n) 
ఓ₁,O! (an address particle; see 15.11.)
గాలి,air; wind (n)
శక్తి,power; energy
కాలం,time
