te_AP,en,hi,te_TG
ఆ పెద్ధ కొమ్మను ఊపు.,Rock (shake) that big branch.,,ఆ పెద్ధ కొమ్మను ఊపు.
,,,
మోహన్:,Mohan:,,మోహన్:
"సరే, కాయలు రాలుతున్నాయా?","Okay, are the fruits falling down?",,"సరే, కాయలు రాలుతున్నాయా?"
,,,
విమల:,Vimala:,,విమల:
ఆ!,Yes!,,ఆ!
రాలుతున్నాయి.,They are falling down.,,రాలుతున్నాయి.
,,,
మోహన్:,Mohan:,,మోహన్:
కాయలన్నీ మీరు ఏరుతున్నారా?,Are you picking up the fruits?,,కాయలన్నీ మీరు ఏరుతున్నారా?
,,,
కమల:,Kamala:,,కమల:
ఆ ఏరుతున్నాం.,Yes. We are picking up.,,ఆ ఏరుతున్నాం.
,,,
మోహన్:,Mohan:,,మోహన్:
ఎవరు ఏరుతున్నారు?,Who is picking up?,,ఎవరు ఏరుతున్నారు?
,,,
కమల:,Kamala:,,కమల:
నేను ఏరుతున్నాను.,I am picking up.,,నేను ఏరుతున్నాను.
రవి ఏరుతున్నాడు.,Ravi is picking up.,,రవి ఏరుతున్నాడు.
విమలగూడా ఏరుతోంది.,Vimala is also picking up.,,విమలగూడా ఏరుతోంది.
,,,
మోహన్:,Mohan:,,మోహన్:
నేను చెట్టుమీదినుంచి దిగుతున్నాను.,I am getting down from the tree.,,నేను చెట్టుమీదినుంచి దిగుతున్నాను.
కాయలు చాలా?,Are the fruits enough (sufficient)?,,కాయలు చాలా?
,,,
రవి:,Ravi:,,రవి:
ఆ!,Yes!,,ఆ!
చాలు.,Enough (sufficient).,,చాలు.
కిందికి రా!,Come down!,,కిందికి రా!
జాగ్రత్త.,Careful.,,జాగ్రత్త.
కొమ్మ విరుగుతోంది.,The branch is breaking.,,కొమ్మ విరుగుతోంది.
,,,
మోహన్:,Mohan:,,మోహన్:
పరవాలేదు.,It's alright (okay).,,పరవాలేదు.
జాగ్రత్తగానే దిగుతున్నాను.,I am getting down carefully.,,జాగ్రత్తగానే దిగుతున్నాను.
,,,
------------,,,------------
,,,
వెంకటరామయ్య:,Venkataramayya:,,వెంకటరామయ్య:
"ఏమోయ్, రామారావ్!","Hey, Ramarao!",,"ఏమోయ్, రామారావ్!"
అక్కడ ఒక కుర్రాడు నీలాగే ఉన్నాడోయ్!,There is someone over there who looks like you.,,అక్కడ ఒక కుర్రాడు నీలాగే ఉన్నాడోయ్!
ఎటు వెళ్తున్నావ్?,Where are you going?,,ఎటు వెళ్తున్నావ్?
,,,
రామా:,Rama:,,రామా:
రైలు స్టేషన్ కు వెళ్తున్నానండీ!,I am going to the railway station.,,రైలు స్టేషన్ కు వెళ్తున్నానండీ!
మా అమ్మగారు వస్తున్నారు.,My mom is coming (arriving).,,మా అమ్మగారు వస్తున్నారు.
గుంటూరు నించి మా అక్కయ్యను తీసుకొస్తున్నారు.,She is bringing my sister from Guntur.,,గుంటూరు నించి మా అక్కయ్యను తీసుకొస్తున్నారు.
,,,
వెంకట:,Venkata:,,వెంకట:
"పద,నేనుగూడా స్టేషనుకే వెళ్తున్నాను.","Let's go, I am also going to the station.",,"పద,నేనుగూడా స్టేషనుకే వెళ్తున్నాను."
ఇప్పుడు నువ్వు ఏం చదువుతున్నావు?,What are you studying now?,,ఇప్పుడు నువ్వు ఏం చదువుతున్నావు?
,,,
రామా:,Rama:,,రామా:
బి. ఇ. చదువుతున్నాను.,I am studying B.E.,,బి. ఇ. చదువుతున్నాను.
,,,
వెంకట:,Venkata:,,వెంకట:
నీ చదువుకోసం మీ నాన్నగారు చాలా కష్టపడుతున్నారు.,Your father is striving (working) hard to educate you.,,నీ చదువుకోసం మీ నాన్నగారు చాలా కష్టపడుతున్నారు.
నువ్వు కూడా కష్టపడు.,You should also work hard.,,నువ్వు కూడా కష్టపడు.
బాగాచదువు.,Study well.,,బాగాచదువు.
,,,
రామా:,Rama:,,రామా:
"చూడండి, ఎవరో కుర్రాడు అటు పరిగెత్తుతున్నాడు.","See, sir, some boy is running in that direction.",,"చూడండి, ఎవరో కుర్రాడు అటు పరిగెత్తుతున్నాడు."
,,,
వెంకట:,Venkata:,,వెంకట:
అవును.,Yes,,అవును.
దొంగలాగా ఉన్నాడు.,He looks like a thief.,,దొంగలాగా ఉన్నాడు.
పారిపోతున్నాడు.,He is running away.,,పారిపోతున్నాడు.
"అదుగో ఆ పోలీసుకు చెప్పు, వెళ్ళు.",Go and inform that policeman.,,"అదుగో ఆ పోలీసుకు చెప్పు, వెళ్ళు."
,,,
రామా:,Rama:,,రామా:
అక్కర్లేదండీ!,"No need, sir!",,అక్కర్లేదండీ!
పోలీసులుగూడా వాడికోసం పరిగెత్తుతున్నారండీ!,The police are also running after him.,,పోలీసులుగూడా వాడికోసం పరిగెత్తుతున్నారండీ!
,,,
వెంకట:,Venkata:,,వెంకట:
అడుగో చూడు.,Look there.,,అడుగో చూడు.
ఆ దొంగ ఇటు వస్తున్నాడు.,That thief is coming in this direction.,,ఆ దొంగ ఇటు వస్తున్నాడు.
నువ్వు గూడా పరిగెత్తు!,You should also run!,,నువ్వు గూడా పరిగెత్తు!
పట్టుకో!,Catch him!,,పట్టుకో!
,,,
రామా:,Rama:,,రామా:
అక్కర్లేదండీ!,"No need, sir!",,అక్కర్లేదండీ!
పోలీసులు వాణ్ణి తీసుకుపోతున్నారు.,The police are taking him away.,,పోలీసులు వాణ్ణి తీసుకుపోతున్నారు.
రాండి.,"Let's go,sir.",,రాండి.
,,,
వెంకట:,Venkata:,,వెంకట:
జనం హడావుడిగా వెళ్తున్నారు.,People are in a rush (going in a hurry).,,జనం హడావుడిగా వెళ్తున్నారు.
బండి వస్తోందా?,Is the train (vehicle) arriving?,,బండి వస్తోందా?
,,,
రామా:,Rama:,,రామా:
అవునండీ!,"Yes, sir!",,అవునండీ!
చూడండి.,See.,,చూడండి.
ఆయన మిమ్మల్ని ఏదో అడుగుతున్నారు.,That person is asking you something.,,ఆయన మిమ్మల్ని ఏదో అడుగుతున్నారు.
,,,
వెంకట:,Venkata:,,వెంకట:
ఏం కావాలండీ!,What do you want? (respectfully),,ఏం కావాలండీ!
,,,
శేఖర్:,Sekhar:,,శేఖర్:
మీరేనా వెంకతరామయ్యగారు?,Are you Mr. Venkataramaiah?,,మీరేనా వెంకతరామయ్యగారు?
నేను శేఖర్ ని.,I am Sekhar.,,నేను శేఖర్ ని.
,,,
వెంకట:,Venkata:,,వెంకట:
మీ కోసమే వస్తున్నాను.,I am coming here for you only.,,మీ కోసమే వస్తున్నాను.
,,,
<h2>,,,<h2>
కొత్త పదాలు,New words,,కొత్త పదాలు
,,,
<ol>,,,<ol>
మామిడి,mango,,మామిడి
దూకు,jump,,దూకు
ఎక్కు,climb,,ఎక్కు
జాగ్రత్త,careful,,జాగ్రత్త
ఊపు,"shake, swing, rock",,ఊపు
రాలు,"fall down, fall off",,రాలు
ఏరు,pick up one after another,,ఏరు
దిగు,come down,,దిగు
విరుగు,break,,విరుగు
ఏమోయ్!,hey!,,ఏమోయ్!
కుర్రాడు,"lad, boy",,కుర్రాడు
-లాగా,"like, similar to",,-లాగా
-ఓయ్,non-honorific address marker,,-ఓయ్
ఎటు,in which direction,,ఎటు
రైలు స్టేషను,railway station,,రైలు స్టేషను
స్టేషను,station,,స్టేషను
బి.ఇ.,B.E.,,బి.ఇ.
-కోసం,for,,-కోసం
కష్టపడు,work hard,,కష్టపడు
ఎవరో,"someone, somebody",,ఎవరో
అటు,in that direction,,అటు
పరిగెత్తు,run,,పరిగెత్తు
దొంగ,thief,,దొంగ
పారిపో,run away,,పారిపో
పోలీసు,police,,పోలీసు
ఇటు,in this direction,,ఇటు
పట్టుకో,catch,,పట్టుకో
జనం,people,,జనం
హడావుడి,"hurry, uproar",,హడావుడి
బండి,vehicle,,బండి
మిమ్మల్ని,acc. form of మీరు,,మిమ్మల్ని
ఏదో,something,,ఏదో
